displacement_mm,force_kN
-0.1524,-11.79210239
-0.0508,-6.645145399
0.0,-5.2791825
0.0127,-4.729775709
0.0127,-3.150943763
0.0254,-2.228031831
0.0381,-1.958789031
0.0762,-0.862145518
0.0762,0.249614368
0.127,2.451672144
0.1778,4.560294382
0.2159,7.978515683
0.3048,10.71632152
0.3556,12.82499824
0.4191,15.57660334
0.4572,17.87759974
0.5207,20.16731595
0.5842,24.9607892
0.635,25.86334617
0.7112,28.51392007
0.762,29.325193
0.8001,32.27576679
0.9017,35.6565179
0.9525,36.46591265
0.9652,38.0383236
1.0541,42.26061421
1.1176,44.64506795
1.1684,46.66156001
1.2446,49.86553456
1.3208,52.79749112
1.4097,56.74674659
1.4732,59.21621207
1.5621,62.4211117
1.6002,64.62998036
1.6891,69.50480951
1.7526,70.21253573
1.7907,72.42280981
1.8923,75.53040704
1.9431,77.16934637
1.9685,78.54903203
2.0066,80.01178809
2.0574,83.51389636
2.1717,85.03090748
2.2352,86.86209444
2.3495,90.78569228
2.4003,93.28190948
2.4765,94.53211952
2.5908,97.81439675
2.6797,99.99397863
2.7813,102.0737542
2.8321,104.3693758
2.9083,107.0272551
2.921,107.1114685
2.9083,105.8186337
2.9337,105.5286478
2.921,105.3506321
2.9464,104.5006348
2.9337,104.9726925
2.921,104.3240335
2.8829,101.2867913
2.8448,99.5404715
2.7813,95.865947
2.7432,94.67442617
2.7305,93.55951353
2.6924,91.44516758
2.6797,89.1338552
2.6289,88.23208455
2.5781,85.01086259
2.5273,82.71139391
2.4511,79.69522838
2.4003,77.95384979
2.3241,73.3524485
2.2479,70.60598827
2.1463,66.57576161
2.0701,62.9017975
1.9558,59.89783592
1.8923,57.42106764
1.8161,53.56631265
1.6764,49.08823164
1.6002,45.78753286
1.4859,41.57010203
1.397,39.39488671
1.2954,33.96771943
1.1811,31.79799544
1.143,30.05749744
1.0541,26.75981407
0.9779,23.45803543
0.9144,21.81857396
0.9017,21.54528176
0.8763,19.98276382
0.7747,16.04207335
0.6858,13.11760149
0.5842,8.437153447
0.4953,4.302734542
0.4064,1.377389015
0.2921,-2.92670108
0.1651,-6.569626849
0.0762,-10.88687736
-0.0254,-14.4590551
-0.1397,-18.48265543
-0.2286,-22.79940427
-0.2921,-25.83134952
-0.4191,-30.12919159
-0.4318,-30.02794247
-0.5207,-33.32321753
-0.6223,-38.0076781
-0.6858,-37.69267102
-0.7874,-43.95157595
-0.9398,-48.97872974
-1.016,-51.54223761
-1.1049,-55.39567614
-1.1938,-59.15334221
-1.3335,-65.39445224
-1.3843,-66.85655897
-1.6129,-74.34705182
-1.7018,-79.86852522
-1.8542,-84.98439107
-1.9431,-88.19787438
-2.0701,-92.21185877
-2.2352,-98.44196124
-2.3749,-103.0088055
-2.5019,-107.9517214
-2.6797,-112.5051297
-2.8829,-118.0576733
-3.048,-120.7626784
-3.2004,-125.4225421
-3.302,-126.480758
